x	y	label	showSelected
NA	NA	Andorra	Andorra
NA	NA	United Arab Emirates	United Arab Emirates
NA	NA	Afghanistan	Afghanistan
NA	NA	Antigua and Barbuda	Antigua and Barbuda
NA	NA	Albania	Albania
NA	NA	Armenia	Armenia
NA	NA	Angola	Angola
NA	NA	Argentina	Argentina
NA	NA	American Samoa	American Samoa
NA	NA	Austria	Austria
NA	NA	Australia	Australia
NA	NA	Aruba	Aruba
NA	NA	Azerbaijan	Azerbaijan
NA	NA	Bosnia and Herzegovina	Bosnia and Herzegovina
NA	NA	Barbados	Barbados
NA	NA	Bangladesh	Bangladesh
NA	NA	Belgium	Belgium
NA	NA	Burkina Faso	Burkina Faso
NA	NA	Bulgaria	Bulgaria
NA	NA	Bahrain	Bahrain
NA	NA	Burundi	Burundi
NA	NA	Benin	Benin
NA	NA	Bermuda	Bermuda
NA	NA	Brunei Darussalam	Brunei Darussalam
NA	NA	Bolivia	Bolivia
NA	NA	Brazil	Brazil
NA	NA	Bahamas, The	Bahamas, The
NA	NA	Bhutan	Bhutan
NA	NA	Botswana	Botswana
NA	NA	Belarus	Belarus
NA	NA	Belize	Belize
NA	NA	Canada	Canada
NA	NA	Congo, Dem. Rep.	Congo, Dem. Rep.
NA	NA	Central African Republic	Central African Republic
NA	NA	Congo, Rep.	Congo, Rep.
NA	NA	Switzerland	Switzerland
NA	NA	Cote d'Ivoire	Cote d'Ivoire
NA	NA	Chile	Chile
NA	NA	Cameroon	Cameroon
NA	NA	China	China
NA	NA	Colombia	Colombia
NA	NA	Costa Rica	Costa Rica
NA	NA	Cuba	Cuba
NA	NA	Cape Verde	Cape Verde
NA	NA	Curacao	Curacao
NA	NA	Cyprus	Cyprus
NA	NA	Czech Republic	Czech Republic
NA	NA	Germany	Germany
NA	NA	Djibouti	Djibouti
NA	NA	Denmark	Denmark
NA	NA	Dominica	Dominica
NA	NA	Dominican Republic	Dominican Republic
NA	NA	Algeria	Algeria
NA	NA	Ecuador	Ecuador
NA	NA	Estonia	Estonia
NA	NA	Egypt, Arab Rep.	Egypt, Arab Rep.
NA	NA	Eritrea	Eritrea
NA	NA	Spain	Spain
NA	NA	Ethiopia	Ethiopia
NA	NA	Finland	Finland
NA	NA	Fiji	Fiji
